text,label
সে এতো ভাল একজন মানুষ হয়েও কিভাবে এই অন্যায় কাজটি করলো,3
সবাই বুঝাতে চেষ্টা করলো কিন্তু তাও তুমি বুঝতে চাইছো না,3
সে নিজ হাতে অপহরণ করেছে,3
সে কারো মঙ্গল করলে মন খারাপ করে তাই খুব রাগ লাগে,3
তার কথা শুনতে রাগ লাগে,3
তার সাথে আমার সম্পরক মোটেই ভালো না তাই তাকে দেখলে রাগ লাগে,3
তার রন্ধন কার্যের অনেক বাজে অবস্থা,3
তোমার কারণে আমি কাজটি পাইনি,3
আমার উন্নতি দেখে তোমার এতো খারাপ লাগে কেন,3
আলো নাই কেনো এইখানে,3
তার মত ঘৃণিত মানুষের কথা কেউ স্মরণ করে না,3
সে কাজ দেয়নি তাই বলে তুমি আমার কাছে আসতে পারলে না,3
আমি অনেক ক্লান্ত এখন চলে যাও এইখান থেকে,3
তার চোখে মুখে রাগ উদ্ভাস হয়েছে,3
তোমাকে দেখলে রাগ লাগে আমার,3
তাকে ভালোবেসে তুমি কি কিছু পেয়েছো,3
আমি কি কিছু জানতে পারি না,3
আমি কেন তাকে বুঝি না,3
সে রাগ করে কান্না করেছে,3
সে রেগে যায় এবং সবার সাথে খারাপ আচরণ করে,3
আমাকে ছেড়ে গেলে কেনো,3
আসলে সে ফলাফল টা দেখে তার রাগের ব্যাপ্তি বেড়ে গেছে,3
তুমি তোমার ভালবাসার মানুষকে কষ্ট দিচ্ছো কেনো,3
এত কষ্ট দিতে থাকলে কি করে শান্তি থাকে,3
তুমি আমার উপর রেগে আছো কেনো,3
এখনও রাগ করেই থাকবা,3
এতো দুঃখের কি আছে এইখানে,3
মনোমুগ্ধকর কিছু করতে বলেছি হচ্ছে না কেন,3
