text,label
আমার যেতে হবে,2
সবার মধ্যে তার বলা কথা ভাল লাগে না,2
তার এসব অযথা কথা সবাই কে কষ্ট দেয়,2
কিছু আমার মন ভরে না,2
আমার মন আজকে অনেক খারাপ,2
মনে এখন কোনো আনন্দ নেই,2
আমি তোমার কাজে খুশি হচ্ছি না,2
তার কথায় তার কষ্ট গুলো আরো প্রকাশিত হয়েছে,2
সবার সাথে তার সম্বন্ধ ভালো না,2
সে দরিদ্র তাই চুরি করেছে,2
সে মোটেও খুশিতে নেই,2
তাকে হারিয়ে ফেলার ভয়ে আছি,2
কেউ তাকে বুঝাতে পারবে না,2
কাজটি নিশ্চয় ভাল হয় নাই,2
আবশেষে এই কষ্টের কোনো সল্যুশন পেলাম না আর,2
তুমি তাকে সাথে নিলে না,2
অস্বচ্ছল দের প্রতি সে ভালো ব্যবহার করে না,2
তিনি কিছু বলবেন না,2
আমি আর তাকে পেতে চাই না,2
তার মন পবিত্র না,2
আমি এখনো তার প্রতীক্ষা করছি তাই অল্প অল্প কষ্ট হচ্ছে,2
তার গল্প টি অজানা রয়ে গেলো,2
যদি সে বাসা ছেড়ে চলে যায় তাহলে সবাই খুব দুঃখ পাবে,2
সে আমার কোনো টাইপ সেবা করে নি তাই কষ্ট পেয়েছি,2
কিছুতে সব সোজা হবে না,2
স্বপ্ন গুলো আর পূরণ হলো না,2
যখন সে সামনে থাকে না তখন খারাপ লাগে,2
সে এখানে আসলে তুমি কষ্ট পাবা,2
আমি মনে অনেক কষ্ট নিয়ে আসছি,2
যেই জায়গায় সুখ নাই সেখানে কেন যাও,2
কাছের মানুষ কষ্ট দিলে বেশি খারাপ লাগে,2
তোমার ভুলের মাশুল আমি দিবো না,2
