text,label
আমি আনন্দিত হচ্ছি,0
আমি তার ন্যায়পরায়ণ মূল্য কখনো দিতে পারবো না কারন সে অনেক বেশি ভালোবাসে আমাকে,0
সব স্বপ্ন পূরণ করতে হবে শুধু তোমার জন্য,0
তার কাছে অনেক ভালোবাসা পেয়েছি,0
সে সবার কাছে ভালবাসা পাচ্ছে,0
আমরা নিজের স্বদেশ কে ভালোবাসি,0
তুই কাজটি শেষ করলি,0
সে সবার কাছে ভালবাসা পেয়েছে,0
তাকে আমার সব ভালবাসা দেখাতে হবে,0
সকল মানুষকে সে অনেক পছন্দ করে,0
সে খুব স্থির মানুষ তাই তাকে এত ভালোবাসি,0
তোমার চরিত্র অনেক ভাল,0
কিছুর ভিত্তি নাই তুমি ছাড়া,0
তার চেহারা অনেক সুন্দর,0
ভালমত বলছি কাজটি করো সেটা তোমার ভালোর জন্যই,0
আমি তাকে নিয়ে বাঁচতে চাই,0
তাকে আমি ভুলতে পারবো না,0
সে খুব নিরীহ মানুষ তাই তাকে এত ভালোবাসি,0
সে দেখতে বাজে হলেও তার মন টা অনেক সুন্দর,0
তার পছন্দ করা সকল জিনিসপত্রের প্রতি আমার টান অনেক কাজ করে,0
সে কারো ভালোমন্দ দেখে না তাই তার সম্বন্ধ সবার সাথে খুব ভালো,0
রাতের বেলার এসব মধুর গান আমি খুব ভালোবাসি,0
সে দরিদ্র মানুষ এর কষ্টের অবস্থা দেখে সবার ব্যপারে উপকার করলো,0
সে কাছে থাকলে অনেক বেশি ভালো লাগে কারন তাকে প্রচন্ড রকমের ভালোবাসি,0
সে সব দিক দিয়ে ভালো মানুষ,0
সে মা কে খুব ভালোবাসে তাই অবজ্ঞা করে না,0
এখানে এসে সবাই উল্লাস করছে তাই আমি সীমাহীন খুশি,0
আমার কক্ষে শুধু তুমি আসবে,0
আমি কাউকে মারতে চাই না ভালবাসতে চাই,0
সে খুব বেশি মজা করে রান্না করে তাই সবার মুখে তার রন্ধনের গুণগান,0
সে একদমই কষ্ট দেয় না আমাকে,0
সবকিছু দিয়েছ কিছু বাকি রাখো নাই,0
আমি পুরাপুরি ভাবে সুস্থ আছি,0
তার সুখেই আমার সুখ কারন তাকে অনেক বেশি ভালোবাসি,0
তুমি সবসময় সবার ভাল দেখো,0
সে গৃহে চলে আসছে বিধায় সবাই অনেক বেশি খুশি কারন সবাই তাকে ভালোবাসে,0
